CODE	TYPE	NOM	URL.	DESC.
12345678	licence	Informatique	http://formations.univ-amu.fr/ME3SIN.html	'Discipline jeune, l’informatique est en constante évolution et modifie profondément notre société. Ses applications sont devenues omniprésentes et proviennent essentiellement des avancées scientifiques réalisées en recherche qui, par ailleurs, irriguent de nombreuses autres disciplines telles que la physique, la biologie, ou encore les sciences humaines. Mais l’informatique n’est pas seulement un outil : la France a besoin de former de nombreux informaticiens qui comprennent les ressorts de la discipline, qu''ils se tournent ensuite vers ses aspects technologiques ou scientifiques. L''objectif général de la Licence d''informatique est de répondre à ce besoin et de former les informaticiens de demain, en fournissant aux étudiants toutes les clés leur permettant de créer, construire et développer leurs connaissances et compétences pour s''adapter mais aussi choisir au mieux leur futur métier.'
ME3SIN-PRSIN3AA	licence	Parcours type : Informatique	http://formations.univ-amu.fr/ME3SIN-PRSIN3AA.html	'L’objectif de ce parcours est de donner une solide formation des bases de l’informatique, équilibrée entre les aspects théoriques, fondamentaux, appliqués et techniques. Le parcours commence dès la deuxième année de la licence, à la sortie du portail René Descartes et se déroule en 2 années (les années de L2 et L3). Cette formation convient à tout étudiant ayant validé sa première année et intéressé par l’informatique sous tous ses aspects (algorithmes, programmation, langages formels, architecture des ordinateurs, systèmes d''exploitation, réseaux, théorie des graphes,…). Ce parcours permet d''accéder, entre autres, aux masters d’informatique mais aussi d''autres masters liés à l''informatique. En particulier, à Aix-Marseille Université, les principaux débouchés possibles sont : Master Informatique , Master Traitement du signal et des images , Master Réseaux et télécommunication .'
ME3SIN-PRSIN3AB	licence	Parcours type : Mathématiques-Informatique	http://formations.univ-amu.fr/ME3SIN-PRSIN3AB.html	'Ce parcours permet d''accéder à la plupart des masters d’informatique et de mathématiques, ainsi que des masters pour les métiers de l’enseignement. En particulier, à Aix-Marseille Université, l’accès au Master Informatique est accordé de droit, et les autres débouchés principaux possibles sont les Masters « Mathématiques et applications », « Métiers de l''Enseignement, de l''Éducation et de la Formation » (préparation au CAPES de mathématiques option informatique), « Mathématiques appliqués et statistique » ou « Traitement du signal et de l’image ». Le parcours commence dès la deuxième année, à la sortie du portail Descartes, et se poursuit en troisième année. Cette formation convient à tout étudiant ayant validé le portail Descartes de première année, intéressé à la fois par les mathématiques (analyse, algèbre, probabilités, logique…) et l’informatique (algorithmes, programmation, langages formels, théorie des graphes…).'
ME3SIN-PRSIN3AC	licence	Parcours type : Plurisciences	http://formations.univ-amu.fr/ME3SIN-PRSIN3AC.html	'Cette formation s''adresse à des étudiants scientifiques aimant les sciences et désirant faire partager leur savoir scientifique en milieu scolaire ou extrascolaire. La formation leur permet d''acquérir une véritable maîtrise des savoirs scientifiques ainsi que des outils permettant leur transmission. Pour cela, la formation s''appuie sur une pédagogie innovante à base de nombreux travaux personnels (mémoires, exposés, réalisations expérimentales…) qui permet à l''étudiant de devenir plus autonome, plus acteur et responsable. Une parfaite maîtrise de la langue française étant nécessaire pour faire partager son savoir, ce parcours laisse une place importante au français sous différentes formes. Cette formation est particulièrement bien adaptée pour les étudiants désirant s''orienter vers la diffusion des sciences et le professorat des écoles. A l’issue de cette formation, les étudiants doivent être capables d’éveiller et éduquer un public scolaire ou extrascolaire aux sciences en transmettant de façon rigoureuse et pédagogique des savoirs pluridisciplinaires.'
ME3SMH	licence	Mathématiques et informatique appliquées aux sciences humaines et sociales	http://formations.univ-amu.fr/ME3SMH.html	'La licence MIASHS forme ses étudiants à comprendre, analyser et interpréter des problèmes sociaux-économiques complexes. Par définition, c’est une licence pluridisciplinaire qui s''adresse à des étudiants voulant acquérir en trois années une triple compétence en mathématiques, en informatique et en sciences humaines et sociales. Cette formation offre des débouchés dans de nombreux domaines avec l''opportunité de carrières très attractives notamment dans les secteurs où l’ingénierie économique et sociale et le traitement des données représentent un cœur de métier : les instituts de sondage, l’administration, la santé, les services, le social, les transports, le marketing, la banque, l''assurance, la gestion des risques, l''actuariat, etc.'
ME3SMH-PRSMH3AA	licence	Parcours type : Mathématiques et sciences sociales	http://formations.univ-amu.fr/ME3SMH-PRSMH3AA.html	L’objectif du parcours MS est de permettre aux étudiants d’acquérir les connaissances nécessaires pour comprendre, analyser, et interpréter des problèmes sociaux de façon rigoureuse. Partant des fondamentaux relatifs aux mathématiques, à l’informatique et aux sciences sociales, les étudiants sont formés à la modélisation, à l’interprétation, et aux traitements quantitatif et qualitatif des données en Sciences Sociales. L’Analyse, l’algèbre, les probabilités et les statistiques (langage R) se conjuguent avec l’informatique (programmation, gestion de bases de données) pour fournir des outils puissants d’analyse. Ces outils sont utilisés en sciences sociales. Dans ces disciplines, les étudiants acquièrent de solides compétences sur les bases des méthodes de recherche (enquêtes, sondages, modélisation et expérimentation) et les bases théoriques en sociologie, psychologie, histoire, géographie, à même de fournir des cadres d’interprétation pertinents . La formation des étudiants à la mise en œuvre et à la pratique de la pluridisciplinarité caractérise la spécificité du parcours MS. L’ensemble de ces connaissances en mathématiques, informatique, sciences sociales, et en économie permet aux étudiants de poursuivre dans des Masters de mathématiques appliquées, dans des Masters de sciences sociales et dans des Masters pluridisciplinaires intégrant ces champs. Les cours de mathématiques et d’informatique sont organisés de manière à répondre aux besoins des sciences sociales en termes de modélisation et de résolution de problèmes. Le stage (ou mémoire) permet enfin de familiariser l’étudiant avec le milieu professionnel en lui donnant la possibilité d’utiliser les acquis correspondant aux trois années de licence. En effet un des objectifs de cette licence est de former des étudiants ayant de solides compétences dans le domaine des mathématiques, de l’informatique et des sciences humaines et sociales en sachant les utiliser de façon pertinente au niveau de la résolution de problèmes sociaux variés. Ceci de manière à pouvoir prétendre tenir le rôle d’experts et de cadres aussi bien dans les secteurs des services privés (instituts de sondages, banques, assurances…) que publics (collectivités territoriales, agence de l’eau, enseignement….).
ME3SMI	licence	Mathématiques	http://formations.univ-amu.fr/ME3SMI.html	'La licence de mathématiques apporte aux étudiants un socle de connaissances et de compétences en mathématiques. Les étudiants bénéficient d''une formation généraliste en mathématiques tout au long des trois années, enrichie par un enseignement en informatique chaque semestre. De plus des enseignements en mécanique et physique sont dispensés lors du portail commun en première année. Cette ouverture vers d''autres domaines a pour but de renforcer la culture scientifique et de montrer l''utilisation des mathématiques dans les autres sciences. Cette licence prépare les étudiants à faire preuve d''abstraction, de rigueur et d''esprit critique, à maîtriser le langage mathématique, à travailler en autonomie et en équipe, à rédiger et présenter un projet mathématique de manière claire et précise en français et à communiquer en anglais scientifique. La première année, via le portail en L1, est consacrée à l’approche post-bac des mathématiques, de la mécanique, de la physique et de l’informatique. La deuxième année L2 est consacrée principalement à un socle de connaissances fondamentales en mathématiques. La troisième année L3 est un approfondissement de la L2, en même temps qu''une préparation aux différents Masters mathématiques ainsi qu’au master MEEF. La formation bénéficie de la présence sur les différents sites de laboratoires de recherche de renommée internationale dans toutes les disciplines enseignées, en particulier, en mathématiques l''Institut de Mathématiques de Marseille (I2M) et le Centre de Physique Théorique (CPT). La licence de Mathématiques, portée par le département de Mathématiques de l’Université d’Aix-Marseille, est un tremplin vers des formations d''un niveau supérieur tels que les Masters mathématiques, le Master MEEF et les écoles d''ingénieurs (passerelle avec certaines écoles d’ingénieurs en L2 ou L3). Cette licence donne également la possibilité d’accéder à d’autres Masters comme le Master Sciences cognitives et le Master Traitement du signal et des images.'
ME3SMI-PRSMI3AA	licence	Parcours type : Mathématiques	http://formations.univ-amu.fr/ME3SMI-PRSMI3AA.html	La licence de mathématiques apporte aux étudiants un socle de connaissances en mathématiques : en analyse : suites, séries, fonctions, intégration, fonctions de plusieurs variables réelles, équations différentielles, calcul différentiel, fonctions analytiques, analyse numérique en algèbre linéaire et bilinéaire : espaces vectoriels, applications linéaires, réduction d’endomorphismes, formes bilinéaires et quadratiques, espaces euclidiens en algèbre : groupes, anneaux, corps en géométrie et topologie : espaces métriques, espaces vectoriels normés en probabilités-statistique : probabilités discrètes et continues, statistique descriptive et inférentielle.
ME3SMI-PRSMI3AB	licence	Parcours type : Plurisciences	http://formations.univ-amu.fr/ME3SMI-PRSMI3AB.html	'Cette formation s''adresse à des étudiants scientifiques aimant les sciences et désirant faire partager leur savoir scientifique en milieu scolaire ou extrascolaire. La formation leur permet d''acquérir une véritable maîtrise des savoirs scientifiques ainsi que des outils permettant leur transmission. Pour cela, la formation s''appuie sur une pédagogie innovante à base de nombreux travaux personnels (mémoires, exposés, réalisations expérimentales…) qui permet à l''étudiant de devenir plus autonome, plus acteur et responsable. Une parfaite maîtrise de la langue française étant nécessaire pour faire partager son savoir, ce parcours laisse une place importante au français sous différentes formes. Cette formation est particulièrement bien adaptée pour les étudiants désirant s''orienter vers la diffusion des sciences et le professorat des écoles. A l’issue de cette formation, les étudiants doivent être capables d’éveiller et éduquer un public scolaire ou extrascolaire aux sciences en transmettant de façon rigoureuse et pédagogique des savoirs pluridisciplinaires.'
ME3SMK	licence	Mécanique	http://formations.univ-amu.fr/ME3SMK.html	La Licence de Mécanique propose une formation orientée principalement vers la modélisation, la simulation numérique et l’expérimentation en mécanique. Elle met l’accent sur les acquis fondamentaux en mécanique, mathématiques, informatique, physique, nécessaires pour assurer la pluridisciplinarité qui caractérise la mécanique, science du mouvement. En tant que licence scientifique à caractère généraliste permettant une spécialisation large dans les grands domaines que sont la mécanique des fluides et la mécanique des solides, cette formation comporte aussi à chaque semestre des UE pluridisciplinaires qui amènent les étudiants à développer leurs connaissances et compétences transversales essentielles en mécanique et à disposer d’autonomie et de capacité d’adaptation.
ME3SMK-PRSMK3AA	licence	Parcours type : Mécanique	http://formations.univ-amu.fr/ME3SMK-PRSMK3AA.html	La Licence de Mécanique propose une formation orientée principalement vers la modélisation, la simulation numérique et l’expérimentation en mécanique. Elle met l’accent sur les acquis fondamentaux en mécanique, mathématiques, informatique, physique, nécessaires pour assurer la pluridisciplinarité qui caractérise la mécanique, science du mouvement. En tant que licence scientifique à caractère généraliste permettant une spécialisation large dans les grands domaines que sont la mécanique des fluides et la mécanique des solides, cette formation comporte aussi à chaque semestre des UE pluridisciplinaires qui amènent les étudiants à développer leurs connaissances et compétences transversales essentielles en mécanique et à disposer d’autonomie et de capacité d’adaptation.
ME3SMK-PRSMK3AB	licence	Parcours type : Plurisciences	http://formations.univ-amu.fr/ME3SMK-PRSMK3AB.html	'Cette formation s''adresse à des étudiants scientifiques aimant les sciences et désirant faire partager leur savoir scientifique en milieu scolaire ou extrascolaire. La formation leur permet d''acquérir une véritable maîtrise des savoirs scientifiques ainsi que des outils permettant leur transmission. Pour cela, la formation s''appuie sur une pédagogie innovante à base de nombreux travaux personnels (mémoires, exposés, réalisations expérimentales…) qui permet à l''étudiant de devenir plus autonome, plus acteur et responsable. Une parfaite maîtrise de la langue française étant nécessaire pour faire partager son savoir, ce parcours laisse une place importante au français sous différentes formes. Cette formation est particulièrement bien adaptée pour les étudiants désirant s''orienter vers la diffusion des sciences et le professorat des écoles. A l’issue de cette formation, les étudiants doivent être capables d’éveiller et éduquer un public scolaire ou extrascolaire aux sciences en transmettant de façon rigoureuse et pédagogique des savoirs pluridisciplinaires.'
ME3SMP	licence	Mathématiques, physique, chimie, informatique	http://formations.univ-amu.fr/ME3SMP.html	'La licence MPCI (Mathématiques-Physique-Chimie-Informatique) propose une formation scientifique de très haut niveau, pluridisciplinaire, en collaboration entre l''Université d''Aix-Marseille et l''École Centrale de Marseille. Elle permet soit de continuer dans un master de mathématiques appliquées, de physique, de chimie, d’informatique ou de domaines pluridisciplinaires (réseaux et télécommunication, nanosciences, cryptographie…) soit d''intégrer différentes Grandes Écoles d''ingénieurs prestigieuses à la fin du L3 en évitant les concours des CPGE (en fin de « maths spé »). Cette formation bénéficie du label et des financements complémentaires de l’Académie d’Excellence d’Aix-Marseille. Seul un nombre très réduit d''étudiants (moins de 30) est autorisé chaque année à suivre cette formation.'
ME3SMP-PRSMP3AA	licence	Parcours type : Mathématiques, physique, chimie, informatique	http://formations.univ-amu.fr/ME3SMP-PRSMP3AA.html	
ME3SPH	licence	Physique	http://formations.univ-amu.fr/ME3SPH.html	Un tremplin vers les formations de haut niveau en Physique. La licence de Physique est une formation exigeante en physique fondamentale avec une approche à la fois théorique et expérimentale et une ouverture vers d’autres domaines scientifiques. À l’issue des trois années de la licence de Physique, les étudiants diplômés auront acquis un solide bagage en physique et auront développé une démarche scientifique leur permettant de s’intégrer dans des formations spécialisées de haut niveau.
ME3SPH-PRSPH3AA	licence	Parcours type : Physique et modélisation	http://formations.univ-amu.fr/ME3SPH-PRSPH3AA.html	De la théorie au modèle. Ce parcours privilégie l’étude formelle des phénomènes fondamentaux en Physique et une approche analytique basée sur la modélisation des mécanismes élémentaires. Une place importante est accordée aux Mathématiques et à l’utilisation des méthodes numériques avancées. Les enseignements délivrés dans le parcours « Physique et modélisation » permettent à l’étudiant de préciser et/ou découvrir les pré-requis à une poursuite d’études dans les domaines de la physique théorique, la physique subatomique et l’astrophysique par exemple. Le parcours « Physique et modélisation » permet d’intégrer les masters de physique, ainsi que toutes les formations de second cycle universitaire ou les grandes écoles dans lesquelles l’approche théorique et formelle est requise.
ME3SPH-PRSPH3AB	licence	Parcours type : Physique et ses interactions	http://formations.univ-amu.fr/ME3SPH-PRSPH3AB.html	Du nanoscopique au macroscopique. Le parcours « Physique et ses interactions » offre une connaissance large des concepts et principes de la physique. Il permet d’effectuer des analogies entre les grands champs thématiques de la physique et des disciplines associées, afin d’aborder des problématiques ou systèmes complexes. Ce parcours délivre à la fois un solide socle de connaissances en physique fondamentale et offre, par des enseignements spécifiques, des débouchés dans de nombreux domaines de la physique appliquée, tels que les nanosciences, les matériaux, l’optique, la microélectronique, le nucléaire, la bio-physique ou l’imagerie médicale, etc … Le parcours « Physique et ses interactions » est particulièrement adapté à une poursuite d’études dans des Masters de Physique, des formations appliquées de pointe, des formations transdisciplinaires ou dans des grandes écoles de physique appliquée.
ME3SPH-PRSPH3AC	licence	Parcours type : Physique-Chimie	http://formations.univ-amu.fr/ME3SPH-PRSPH3AC.html	Une approche bi-disciplinaire. Dans ce parcours, l’approche bi-disciplinaire physique et chimie, s’appuie sur la complémentarité des deux disciplines, nécessaire à la compréhension de nombreux phénomènes scientifiques. Les enseignements délivrés dans le parcours « Physique-Chimie » délivrent un socle de connaissances fondamentales en Physique et en Chimie et permettent de lier les deux disciplines à travers des unités d’enseignement transverses tout au long du parcours. Les enseignements couvrent la totalité du programme du CAPES de Physique-Chimie. Le parcours « Physique-Chimie », qui débute en L2 et se poursuit en L3, permet d’intégrer les Masters MEEF (enseignement) et est également particulièrement adapté à une poursuite d’études dans de nombreux Masters de sciences physiques ou au sein de grandes écoles généralistes.
ME3SPH-PRSPH3AD	licence	Parcours type : Plurisciences	http://formations.univ-amu.fr/ME3SPH-PRSPH3AD.html	'Cette formation s''adresse à des étudiants scientifiques aimant les sciences et désirant faire partager leur savoir scientifique en milieu scolaire ou extrascolaire. La formation leur permet d''acquérir une véritable maîtrise des savoirs scientifiques ainsi que des outils permettant leur transmission. Pour cela, la formation s''appuie sur une pédagogie innovante à base de nombreux travaux personnels (mémoires, exposés, réalisations expérimentales…) qui permet à l''étudiant de devenir plus autonome, plus acteur et responsable. Une parfaite maîtrise de la langue française étant nécessaire pour faire partager son savoir, ce parcours laisse une place importante au français sous différentes formes. Cette formation est particulièrement bien adaptée pour les étudiants désirant s''orienter vers la diffusion des sciences et le professorat des écoles. A l’issue de cette formation, les étudiants doivent être capables d’éveiller et éduquer un public scolaire ou extrascolaire aux sciences en transmettant de façon rigoureuse et pédagogique des savoirs pluridisciplinaires.'
ME3SPI	licence	'Sciences pour l''ingénieur'	http://formations.univ-amu.fr/ME3SPI.html	'Au terme des différents parcours, nos futurs diplômés seront en mesure de : Parcours IM  : Analyser et valider les solutions mécaniques retenues dans la conception d’un système pluri-technologique, en lien avec des spécialistes des matériaux et de l’automatique Parcours EEA  : Concevoir des systèmes automatisés de commande, de traitement de l''information, et de conversion de l''énergie électrique dans une approche pluri-technologique Parcours M2E  : Analyser et comprendre le choix des matériaux utilisés dans la conception des dispositifs pluri-technologiques du domaine de l’énergie et de l’électronique Parcours PAI  : Analyser et comprendre les solutions de mesure et d’instrumentation physiques retenues dans la conception de systèmes pluri-technologiques notamment dans les domaines de l’électronique, l’automatisme et le génie électrique Parcours Plurisciences  : Éveiller et éduquer un public scolaire ou extrascolaire aux sciences en transmettant de façon rigoureuse et pédagogique des savoirs pluridisciplinaires'
ME3SPI-PRSPI3AA	licence	Parcours type : Ingénierie mécanique (IM)	http://formations.univ-amu.fr/ME3SPI-PRSPI3AA.html	En fin de parcours IM, le diplômé aura assimilé des méthodes et des outils permettant d’analyser et valider les solutions mécaniques retenues dans la conception d’un système pluri-technologique. Il manipulera des outils de conception assistée pour faire l’analyse de systèmes et des modifications simples conforme à un cahier des charges. Il sera en mesure de produire une notice technique pour justifier ses résultats. En fin de par la formation et le type d’enseignement, il développera sa capacité d’analyse, d’appropriation des disciplines ainsi que sa capacité de travail au sein d’un groupe.
ME3SPI-PRSPI3AB	licence	Parcours type : Electronique, électrotechnique et automatique (EEA)	http://formations.univ-amu.fr/ME3SPI-PRSPI3AB.html	'En fin de parcours EEA, le diplômé saura, dans une approche pluri-technologique mêlant l''automatique, le génie électrique, et la théorie de l''information, concevoir des systèmes automatisés de commande, de traitement de l''information, et de conversion de l''énergie électrique.'
ME3SPI-PRSPI3AC	licence	Parcours type : Physique appliquée et instrumentation (PAI)	http://formations.univ-amu.fr/ME3SPI-PRSPI3AC.html	'En fin de parcours PAI, le diplômé aura assimilé des connaissances en systèmes de mesures, instrumentation, capteurs et métrologie (applications industrielles, recherche et développement). Il maîtrisera les techniques élémentaires de mesure et l’utilisation des logiciels d’acquisition, d’analyse et de traitement des données. Il maîtrisera également l''instrumentation en physique et physico-chimie.'
ME3SPI-PRSPI3AD	licence	Parcours type : Matériaux pour l’électronique et l’énergie (M2E)	http://formations.univ-amu.fr/ME3SPI-PRSPI3AD.html	En fin de parcours M2E, le diplômé saura identifier les différentes familles de matériaux et leurs propriétés physiques et mécaniques, relier ces propriétés macroscopiques aux processus microscopiques en vue d’applications dans le domaine de l’électronique et de l’énergie.
ME3SPI-PRSPI3AE	licence	Parcours type : Plurisciences	http://formations.univ-amu.fr/ME3SPI-PRSPI3AE.html	'Cette formation s''adresse à des étudiants scientifiques aimant les sciences et désirant faire partager leur savoir scientifique en milieu scolaire ou extrascolaire. La formation leur permet d''acquérir une véritable maîtrise des savoirs scientifiques ainsi que des outils permettant leur transmission. Pour cela, la formation s''appuie sur une pédagogie innovante à base de nombreux travaux personnels (mémoires, exposés, réalisations expérimentales…) qui permet à l''étudiant de devenir plus autonome, plus acteur et responsable. Une parfaite maîtrise de la langue française étant nécessaire pour faire partager son savoir, ce parcours laisse une place importante au français sous différentes formes. Cette formation est particulièrement bien adaptée pour les étudiants désirant s''orienter vers la diffusion des sciences et le professorat des écoles. A l’issue de cette formation, les étudiants doivent être capables d’éveiller et éduquer un public scolaire ou extrascolaire aux sciences en transmettant de façon rigoureuse et pédagogique des savoirs pluridisciplinaires.'
